Governor ID,Governor Name,Power at start,Kill Score at start,Dead at start,Begining Power vs Last Scan,Begining Kills vs Last Scan,Begining Dead vs Last Scan,Power Pas 4,Power Difference Pass 4,Kill Score Pas 4,Kill Difference Pas 4,Dead Pas 4,Dead Difference Pas 4 2,Power Pass 5&6,Pwer Difference Pass 5&6,Kill Score Pass 5&6,Kill Difference Pass 5&6,Dead Pass 5&6,Dead Difference Pass 5&6,Power Kingsland,Power Difference Kingsland,Kill Score Kingsland,Kill Difference Kingsland,Dead Kingsland,Dead Difference Kingsland,Power 5 Jan,Power Difference 5 Jan,Kill Score 5 Jan,Kill Difference 5 Jan,Dead 5 Jan,Dead Difference 5 Jan,Power KVK End,Power Difference KVK End,Kill Score Power KVK End,Kill Difference KVK End,Dead KVK End,Dead Difference KVK End
20152080,el chico malo,162750894,5739217166,24556863,-14750553,1201197670,2166198,151775712,-10975182,6107831846,368614680,25724070,1167207,153093223,1317511,6151460513,43628667,25747049,22979,150545191,-2548032,6776509421,625048908,26526645,779596,148000341,-2544850,6940414836,163905415,26723061,196416,0,0,0,0,0,0
29886125,WhiteTigger,97341111,3522995439,17585811,-21500536,871843596,2251138,92154799,-5186312,3877505364,354509925,18137329,551518,92830714,675915,3956950122,79444758,18170616,33287,85198479,-7632235,4293820974,336870852,19255498,1084882,75840575,-9357904,4394839035,101018061,19836949,581451,0,0,0,0,0,0
40928263,МЭЛС,83890811,606263969,6654613,-14494081,366216675,1678242,77244551,-6646260,755484314,149220345,7094085,439472,81616271,4371720,757334554,1850240,7094085,0,72498830,-9117441,934171099,176836545,7978315,884230,69396730,-3102100,972480644,38309545,8332855,354540,0,0,0,0,0,0
10433267,Rosemary705,132281533,3356648493,26456356,-30366970,348639059,3449196,122004043,-10277490,3460277146,103628653,27559490,1103134,122217663,213620,3473277849,13000703,27559490,0,112736087,-9481576,3604886206,131608357,28578971,1019481,101914563,-10821524,3705287552,100401346,29905552,1326581,0,0,0,0,0,0
48611614,Cengiz乄Han,87290159,901217315,13608201,-16918300,321220500,2122184,75901219,-11388940,1002988068,101770753,14629572,1021371,79652180,3750961,1021683368,18695300,14629572,0,73785230,-5866950,1141178474,119495106,15216840,587268,70371859,-3413371,1222437815,81259341,15730385,513545,0,0,0,0,0,0
40997355,AceKing2K,84100125,351072734,8598643,-17976350,169325022,2017324,76836723,-7263402,389647685,38574951,9166193,567550,79173173,2336450,396639500,6991815,9166193,0,66339595,-12833578,481678474,85038974,10308482,1142289,66123775,-215820,520397756,38719282,10615967,307485,0,0,0,0,0,0
23509063,XBionicBlurryX,109000699,1726698539,15701209,-21982840,165534845,2753311,103045839,-5954860,1773042325,46343786,16579342,878133,103096789,50950,1775565135,2522810,16579342,0,97710757,-5386032,1824248171,48683036,17299075,719733,87017859,-10692898,1892233384,67985213,18454520,1155445,0,0,0,0,0,0
61170341,Rafiki Prime,90255944,1889604267,21101162,-13865420,138302541,1643606,81915994,-8339950,1926364985,36760718,21490941,389779,83449683,1533689,1933455679,7090694,21490941,0,77496392,-5953291,2007000468,73544789,22333684,842743,76390524,-1105868,2027906808,20906340,22744768,411084,0,0,0,0,0,0
106810107,Enоch,61626814,292579879,4402202,-4775213,120790736,875100,61210750,-416064,338453531,45873652,4584321,182119,60853294,-357456,345195781,6742250,4584321,0,57202203,-3651091,402894385,57698604,5186878,602557,56851601,-350602,413370615,10476230,5277302,90424,0,0,0,0,0,0
23686212,King Koneru,76345855,1559011128,14152288,-5090138,116058007,1062224,73493537,-2852318,1615446772,56435644,14493373,341085,75857549,2364012,1625805402,10358630,14493373,0,76591725,734176,1627723242,1917840,14506730,13357,71255717,-5336008,1675069135,47345893,15214512,707782,0,0,0,0,0,0
60305726,SmokyDread,88763096,366974976,11716522,-12552660,85829461,1621665,80850276,-7912820,399005134,32030158,12452655,736133,83524106,2673830,409358664,10353530,12452655,0,82815596,-708510,425261424,15902760,12623409,170754,76210436,-6605160,452804437,27543013,13338187,714778,0,0,0,0,0,0
149505790,Jubitora,40904362,96977314,2938793,-6146977,75494617,2027132,35840616,-5063746,124641346,27664032,4150660,1211867,37598262,1757646,126438299,1796953,4150660,0,35621704,-1976558,153263437,26825138,4493712,343052,34757385,-864319,172471931,19208494,4965925,472213,0,0,0,0,0,0
26321575,Lemi B Salty,80360326,357071516,12557116,-12974249,69664388,1683590,72507657,-7852669,380279919,23208403,13179350,622234,76458037,3950380,384501435,4221516,13179350,0,67556791,-8901246,417853646,33352211,14117075,937725,67386077,-170714,426735904,8882258,14240706,123631,0,0,0,0,0,0
50569495,AQ1947,61913227,213118890,6614382,-1367569,56938064,442518,60111901,-1801326,226503815,13384925,6821918,207536,60688995,577094,248715394,22211579,6939731,117813,60058376,-630619,270056954,21341560,7056900,117169,60545658,487282,270056954,0,7056900,0,0,0,0,0,0,0
127530244,BUGRAHAN5936,49200302,122590847,2081659,9855496,50280637,657572,49052721,-147581,141161019,18570172,2438149,356490,50447869,1395148,141161019,0,2438149,0,59479251,9031382,156915362,15754343,2597823,159674,59055798,-423453,172871484,15956122,2739231,141408,0,0,0,0,0,0
64153878,Dìldo Swaggins,72579231,109750753,3124096,-4126054,44759225,820948,70918087,-1661144,126059324,16308571,3457342,333246,72127287,1209200,126059324,0,3457342,0,70560255,-1567032,151284358,25225034,3923849,466507,68453177,-2107078,154509978,3225620,3945044,21195,0,0,0,0,0,0
41110873,Lacsar,98312671,317380721,4750156,-16886252,43949576,2032213,83886239,-14426432,330823779,13443058,5762590,1012434,82256329,-1629910,335041529,4217750,5885857,123267,81115259,-1141070,361330297,26288768,6782369,896512,81426419,311160,361330297,0,6782369,0,0,0,0,0,0,0
40962537,AHMED HERZALLAH,86979191,186591808,6242930,-10545590,42475471,1360754,87665991,686800,186591808,,6242930,0,88018001,352010,187479314,887506,6293514,50584,76054101,-11963900,229066959,41587645,7603684,1310170,76433601,379500,229067279,320,7603684,0,0,0,0,0,0,0
40914960,LifeisBeautiful,81364278,415657210,4188669,-7962448,35507685,738027,76160538,-5203740,427523890,11866680,4235270,46601,82478038,6317500,427523890,0,4235270,0,75935152,-6542886,446933705,19409815,4725457,490187,73401830,-2533322,451164895,4231190,4926696,201239,0,0,0,0,0,0
66527265,Errebi,81915887,78004232,3570120,-8791718,31039142,1345511,71382749,-10533138,90792059,12787827,4354368,784248,69947757,-1434992,93861999,3069940,4414467,60099,72636601,2688844,109043374,15181375,4915631,501164,73124169,487568,109043374,0,4915631,0,0,0,0,0,0,0
