Governor ID,Governor Name, Power at start,Kill Score at start,Dead at start,Begining Power vs Last Scan,Begining Kills vs Last Scan,Begining Dead vs Last Scan,Power Pas 4 ,Difference Pass 4,Kill Score Pas 4, Difference Pas 4 ,Dead Pas 4, Difference Pas 4, Power Pass 5&6, Difference Pass 5&6,Kill Score Pass 5&6, Difference Pass 5&6,Unit Lost Pass 5&6, Difference Pass 5&6, Power Pass 7, Difference Pass 7,Kill Score Pass 7, Difference Pass 7,Unit Lost Pass 7, Difference Pass 7, Power Kingsland , Difference Kingsland ,Kill Score Kingsland, Difference Kingsland 7,Unit Lost Kingsland, Difference Kingsland 8, Power KVK End , Difference Power KVK End ,Kill Score Power KVK End, Difference Power KVK End 9,Unit Lost Power KVK End, Difference Power KVK End 10
29886125,WhiteTigger,97341111 ,3522995439 ,17585811 ,(4510397),433954683 ,584805 ,92154799 ,(5186312),3877505364 ,354509925 ,18137329 ,551518 ,92830714 ,675915 ,3956950122 ,79444758 ,18170616 ,33287 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20152080,el chico malo,162750894 ,5739217166 ,24556863 ,(9657671),412243347 ,1190186 ,151775712 ,(10975182),6107831846 ,368614680 ,25724070 ,1167207 ,153093223 ,1317511 ,6151460513 ,43628667 ,25747049 ,22979 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40928263,МЭЛС,83890811 ,606263969 ,6654613 ,(2274540),151070585 ,439472 ,77244551 ,(6646260),755484314 ,149220345 ,7094085 ,439472 ,81616271 ,4371720 ,757334554 ,1850240 ,7094085 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48611614,Cengiz乄Han,87290159 ,901217315 ,13608201 ,(7637979),120466053 ,1021371 ,75901219 ,(11388940),1002988068 ,101770753 ,14629572 ,1021371 ,79652180 ,3750961 ,1021683368 ,18695300 ,14629572 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10433267,Rosemary705,132281533 ,3356648493 ,26456356 ,(10063870),116629356 ,1103134 ,122004043 ,(10277490),3460277146 ,103628653 ,27559490 ,1103134 ,122217663 ,213620 ,3473277849 ,13000703 ,27559490 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23686212,King Koneru,76345855 ,1559011128 ,14152288 ,(488306),66794274 ,341085 ,73493537 ,(2852318),1615446772 ,56435644 ,14493373 ,341085 ,75857549 ,2364012 ,1625805402 ,10358630 ,14493373 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106810107,Enоch,61626814 ,292579879 ,4402202 ,(773520),52615902 ,182119 ,61210750 ,(416064),338453531 ,45873652 ,4584321 ,182119 ,60853294 ,(357456),345195781 ,6742250 ,4584321 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23509063,XBionicBlurryX,109000699 ,1726698539 ,15701209 ,(5903910),48866596 ,878133 ,103045839 ,(5954860),1773042325 ,46343786 ,16579342 ,878133 ,103096789 ,50950 ,1775565135 ,2522810 ,16579342 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40997355,AceKing2K,84100125 ,351072734 ,8598643 ,(4926952),45566766 ,567550 ,76836723 ,(7263402),389647685 ,38574951 ,9166193 ,567550 ,79173173 ,2336450 ,396639500 ,6991815 ,9166193 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61170341,Rafiki Prime,90255944 ,1889604267 ,21101162 ,(6806261),43851412 ,389779 ,81915994 ,(8339950),1926364985 ,36760718 ,21490941 ,389779 ,83449683 ,1533689 ,1933455679 ,7090694 ,21490941 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
