Governor ID,Governor Name, Power at start ,Kill Score at start,Dead at start,Begining Power vs Last Scan,Begining Kills vs Last Scan,Begining Dead vs Last Scan, Power Pas 4 ,Difference Pass 4,Kill Score Pas 4, Difference Pas 4 ,Dead Pas 4, Difference Pas 4 2, Power Pass 5&6, Difference Pass 5&6,Kill Score Pass 5&6, Difference Pass 5&6,Unit Lost Pass 5&6, Difference Pass 5&6, Power Pass 7, Difference Pass 7,Kill Score Pass 7, Difference Pass 7,Unit Lost Pass 7, Difference Pass 7, Power Kingsland , Difference Kingsland ,Kill Score Kingsland, Difference Kingsland 7,Unit Lost Kingsland, Difference Kingsland 8, Power KVK End , Difference Power KVK End ,Kill Score Power KVK End, Difference Power KVK End 9,Unit Lost Power KVK End, Difference Power KVK End 10
20152080,el chico malo,"162,750,894","5,739,217,166","24,556,863","-9,657,671","412,243,347","1,190,186","151,775,712","-10,975,182","6,107,831,846","368,614,680","25,724,070","1,167,207",153093223,"1,317,511",6151460513,"43,628,667",25747049,"22,979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29886125,WhiteTigger,"97,341,111","3,522,995,439","17,585,811","-4,510,397","433,954,683","584,805","92,154,799","-5,186,312","3,877,505,364","354,509,925","18,137,329","551,518",92830714,"675,915",3956950122,"79,444,758",18170616,"33,287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40928263,????,"83,890,811","606,263,969","6,654,613","-2,274,540","151,070,585","439,472","77,244,551","-6,646,260","755,484,314","149,220,345","7,094,085","439,472",81616271,"4,371,720",757334554,"1,850,240",7094085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10433267,Rosemary705,"132,281,533","3,356,648,493","26,456,356","-10,063,870","116,629,356","1,103,134","122,004,043","-10,277,490","3,460,277,146","103,628,653","27,559,490","1,103,134",122217663,"213,620",3473277849,"13,000,703",27559490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48611614,Cengiz?Han,"87,290,159","901,217,315","13,608,201","-7,637,979","120,466,053","1,021,371","75,901,219","-11,388,940","1,002,988,068","101,770,753","14,629,572","1,021,371",79652180,"3,750,961",1021683368,"18,695,300",14629572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23686212,King Koneru,"76,345,855","1,559,011,128","14,152,288","-488,306","66,794,274","341,085","73,493,537","-2,852,318","1,615,446,772","56,435,644","14,493,373","341,085",75857549,"2,364,012",1625805402,"10,358,630",14493373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23509063,XBionicBlurryX,"109,000,699","1,726,698,539","15,701,209","-5,903,910","48,866,596","878,133","103,045,839","-5,954,860","1,773,042,325","46,343,786","16,579,342","878,133",103096789,"50,950",1775565135,"2,522,810",16579342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106810107,En?ch,"61,626,814","292,579,879","4,402,202","-773,520","52,615,902","182,119","61,210,750","-416,064","338,453,531","45,873,652","4,584,321","182,119",60853294,"-357,456",345195781,"6,742,250",4584321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40997355,AceKing2K,"84,100,125","351,072,734","8,598,643","-4,926,952","45,566,766","567,550","76,836,723","-7,263,402","389,647,685","38,574,951","9,166,193","567,550",79173173,"2,336,450",396639500,"6,991,815",9166193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61170341,Rafiki Prime,"90,255,944","1,889,604,267","21,101,162","-6,806,261","43,851,412","389,779","81,915,994","-8,339,950","1,926,364,985","36,760,718","21,490,941","389,779",83449683,"1,533,689",1933455679,"7,090,694",21490941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60305726,SmokyDread,"88,763,096","366,974,976","11,716,522","-5,238,990","42,383,688","736,133","80,850,276","-7,912,820","399,005,134","32,030,158","12,452,655","736,133",83524106,"2,673,830",409358664,"10,353,530",12452655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
