,,,KvK Start,,,Pass 4 opening,,,,,,,,Pass 5 opening - compare with previous,,,,,,Pass 6 opening - compare with previous,,,,,,Kingsland opening - compare with previous,,,,,,KvK end - comparison with start,,,,,
Rank,Player ID,Name, Power ,Kill Score,Unit Lost, Power , Difference ,Kill Score, Difference , Top Kills ,Unit Lost, Difference , Top Deaths , Power , Difference ,Kill Score, Difference ,Unit Lost, Difference , Power , Difference ,Kill Score, Difference ,Unit Lost, Difference , Power , Difference ,Kill Score, Difference ,Unit Lost, Difference , Power , Difference ,Kill Score, Difference ,Unit Lost, Difference 
1,20152080,el chico malo," 162,750,894 "," 5,739,217,166 "," 24,556,863 "," 151,775,712 "," (10,975,182)"," 6,107,831,846 "," 368,614,680 ", 1 ," 25,724,070 "," 1,167,207 ", 2 ,,,,,,,,,,,,,,,,,,,,,,,,
8,29886125,WhiteTigger," 97,341,111 "," 3,522,995,439 "," 17,585,811 "," 92,154,799 "," (5,186,312)"," 3,877,505,364 "," 354,509,925 ", 2 ," 18,137,329 "," 551,518 ", 11 ,,,,,,,,,,,,,,,,,,,,,,,,
17,40928263,МЭЛС," 83,890,811 "," 606,263,969 "," 6,654,613 "," 77,244,551 "," (6,646,260)"," 755,484,314 "," 149,220,345 ", 3 ," 7,094,085 "," 439,472 ", 14 ,,,,,,,,,,,,,,,,,,,,,,,,
2,10433267,Rosemary705," 132,281,533 "," 3,356,648,493 "," 26,456,356 "," 122,004,043 "," (10,277,490)"," 3,460,277,146 "," 103,628,653 ", 4 ," 27,559,490 "," 1,103,134 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,
12,48611614,Cengiz乄Han," 87,290,159 "," 901,217,315 "," 13,608,201 "," 75,901,219 "," (11,388,940)"," 1,002,988,068 "," 101,770,753 ", 5 ," 14,629,572 "," 1,021,371 ", 4 ,,,,,,,,,,,,,,,,,,,,,,,,
25,23686212,King Koneru," 76,345,855 "," 1,559,011,128 "," 14,152,288 "," 73,493,537 "," (2,852,318)"," 1,615,446,772 "," 56,435,644 ", 6 ," 14,493,373 "," 341,085 ", 17 ,,,,,,,,,,,,,,,,,,,,,,,,
4,23509063,XBionicBlurryX," 109,000,699 "," 1,726,698,539 "," 15,701,209 "," 103,045,839 "," (5,954,860)"," 1,773,042,325 "," 46,343,786 ", 7 ," 16,579,342 "," 878,133 ", 6 ,,,,,,,,,,,,,,,,,,,,,,,,
40,106810107,Enоch," 61,626,814 "," 292,579,879 "," 4,402,202 "," 61,210,750 "," (416,064)"," 338,453,531 "," 45,873,652 ", 8 ," 4,584,321 "," 182,119 ", 22 ,,,,,,,,,,,,,,,,,,,,,,,,
16,40997355,AceKing2K," 84,100,125 "," 351,072,734 "," 8,598,643 "," 76,836,723 "," (7,263,402)"," 389,647,685 "," 38,574,951 ", 9 ," 9,166,193 "," 567,550 ", 10 ,,,,,,,,,,,,,,,,,,,,,,,,
10,61170341,Rafiki Prime," 90,255,944 "," 1,889,604,267 "," 21,101,162 "," 81,915,994 "," (8,339,950)"," 1,926,364,985 "," 36,760,718 ", 10 ," 21,490,941 "," 389,779 ", 15 ,,,,,,,,,,,,,,,,,,,,,,,,
11,60305726,SmokyDread," 88,763,096 "," 366,974,976 "," 11,716,522 "," 80,850,276 "," (7,912,820)"," 399,005,134 "," 32,030,158 ", 11 ," 12,452,655 "," 736,133 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,
58,149505790,Jubitora," 40,904,362 "," 96,977,314 "," 2,938,793 "," 35,840,616 "," (5,063,746)"," 124,641,346 "," 27,664,032 ", 12 ," 4,150,660 "," 1,211,867 ", 1 ,,,,,,,,,,,,,,,,,,,,,,,,
22,26321575,Lemi B Salty," 80,360,326 "," 357,071,516 "," 12,557,116 "," 72,507,657 "," (7,852,669)"," 380,279,919 "," 23,208,403 ", 13 ," 13,179,350 "," 622,234 ", 9 ,,,,,,,,,,,,,,,,,,,,,,,,
49,127530244,Cengiz乄HanJR," 49,200,302 "," 122,590,847 "," 2,081,659 "," 49,052,721 "," (147,581)"," 141,161,019 "," 18,570,172 ", 14 ," 2,438,149 "," 356,490 ", 16 ,,,,,,,,,,,,,,,,,,,,,,,,
29,64153878,Dìldo Swaggins," 72,579,231 "," 109,750,753 "," 3,124,096 "," 70,918,087 "," (1,661,144)"," 126,059,324 "," 16,308,571 ", 15 ," 3,457,342 "," 333,246 ", 18 ,,,,,,,,,,,,,,,,,,,,,,,,
33,46166732,GariBaza," 66,077,748 "," 152,792,053 "," 9,259,368 "," 64,232,544 "," (1,845,204)"," 167,310,062 "," 14,518,009 ", 16 ," 9,559,067 "," 299,699 ", 19 ,,,,,,,,,,,,,,,,,,,,,,,,
7,41110873,Lacsar," 98,312,671 "," 317,380,721 "," 4,750,156 "," 83,886,239 "," (14,426,432)"," 330,823,779 "," 13,443,058 ", 17 ," 5,762,590 "," 1,012,434 ", 5 ,,,,,,,,,,,,,,,,,,,,,,,,
39,50569495,AQ1947," 61,913,227 "," 213,118,890 "," 6,614,382 "," 60,111,901 "," (1,801,326)"," 226,503,815 "," 13,384,925 ", 18 ," 6,821,918 "," 207,536 ", 21 ,,,,,,,,,,,,,,,,,,,,,,,,
18,66527265,Errebi," 81,915,887 "," 78,004,232 "," 3,570,120 "," 71,382,749 "," (10,533,138)"," 90,792,059 "," 12,787,827 ", 19 ," 4,354,368 "," 784,248 ", 7 ,,,,,,,,,,,,,,,,,,,,,,,,
20,40914960,LifeisBeautiful," 81,364,278 "," 415,657,210 "," 4,188,669 "," 76,160,538 "," (5,203,740)"," 427,523,890 "," 11,866,680 ", 20 ," 4,235,270 "," 46,601 ", 24 ,,,,,,,,,,,,,,,,,,,,,,,,
23,20927198,Axios Elysium," 79,973,772 "," 453,758,476 "," 14,339,637 "," 71,537,990 "," (8,435,782)"," 465,134,459 "," 11,375,983 ", 21 ," 14,867,569 "," 527,932 ", 12 ,,,,,,,,,,,,,,,,,,,,,,,,
15,40984308,PodzAdPinkAdam," 84,990,934 "," 554,710,156 "," 22,553,817 "," 79,518,644 "," (5,472,290)"," 564,398,222 "," 9,688,066 ", 22 ," 23,022,662 "," 468,845 ", 13 ,,,,,,,,,,,,,,,,,,,,,,,,
6,21304542,ʀᴀᴍʙᴏ," 103,883,395 "," 1,751,058,096 "," 13,090,604 "," 101,613,475 "," (2,269,920)"," 1,755,683,107 "," 4,625,011 ", 23 ," 13,303,693 "," 213,089 ", 20 ,,,,,,,,,,,,,,,,,,,,,,,,
31,27904876,ClodoMiro," 71,269,488 "," 59,560,409 "," 10,331,091 "," 70,450,029 "," (819,459)"," 60,788,346 "," 1,227,937 ", 24 ," 10,433,261 "," 102,170 ", 23 ,,,,,,,,,,,,,,,,,,,,,,,,
48,64040422,Monsieur Rafiki," 49,887,059 "," 76,009,184 "," 3,805,688 "," 49,954,463 "," 67,404 "," 76,860,214 "," 851,030 ", 25 ," 3,836,401 "," 30,713 ", 25 ,,,,,,,,,,,,,,,,,,,,,,,,
14,40989465,探圖索洞," 86,429,400 "," 174,918,914 "," 12,280,941 "," 86,945,600 "," 516,200 "," 175,363,674 "," 444,760 ", 26 ," 12,280,941 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,
67,110925956,Enoch 4," 37,213,097 "," 22,861,630 "," 2,315,389 "," 37,649,261 "," 436,164 "," 23,248,524 "," 386,894 ", 27 ," 2,338,729 "," 23,340 ", 26 ,,,,,,,,,,,,,,,,,,,,,,,,
