Governor ID,Governor Name,Power,Kill Points,Deaths,T1,T2,T3,T4,T5,Kills,Kills (T4+),Ranged Points,RSS Gathered,RSS Assistance,Helps,Alliance
20152080,el chico malo,163707062,5739217166,24556863,17796444,11726496,18415739,206996313,178428940,433363932,385425253,0,6306850192,9776588382,36714,[MC74]Masters of Courage
10433267,Rosemary705,133453013,3361834391,26456356,26040517,6446916,8698749,180882068,75005839,297074089,255887907,0,23102272705,4004964461,180479,[IKVA]Int Kor Vit Alliance
40922165,Rendant,111580007,505364214,6750310,18967132,301845,206162,12896537,18558854,50930530,31455391,0,22110145351,1939407268,34115,[~TB]~True Blood~
23509063,XBionicBlurryX,111247919,1731373229,15701209,43028657,7912074,4080145,84966391,42047943,182035210,127014334,0,16157802757,3437426323,61469,[MC74]Masters of Courage
22824323,GaMik,106389083,1025833854,7119792,28231202,702628,704857,39109587,31243353,99991627,70352940,0,21718186728,4470508370,92702,[~TB]~True Blood~
21304542,?????,104444695,1751058096,13090604,4779493,2405434,4762260,112125733,30249248,154322168,142374981,0,21615344265,5755669994,33028,[~TB]~True Blood~
29886125,WhiteTigger,99051737,3529935029,17585811,45082786,1895701,2437080,129082009,110827933,289325509,239909942,0,16292615852,2521233255,79930,[MC74]Masters of Courage
41110873,Lacsar,99033351,317380721,4750156,152658,147463,36966,6565892,12562424,19465403,19128316,0,37156494759,7184830346,35061,[MC74]Masters of Courage
40925618,Nitmare01,97130697,191281539,4547465,1907335,2584805,311673,8275891,5086243,18165947,13362134,0,11891714112,3094150970,27453,[~TB]~True Blood~
61170341,Rafiki Prime,90994144,1894451967,21101162,134668709,1857879,1734322,71985292,56850613,267096815,128835905,120705,19504879202,6147163547,119403,[MC74]Masters of Courage
60305726,SmokyDread,89722756,368381496,11716522,445791,315155,388352,10357198,13126832,24633328,23484030,87821,14448649708,9117847487,58536,[MC74]Masters of Courage
48611614,Cengiz?Han,88759179,901217315,13608201,67821226,2445191,1839337,37634118,24953208,134693080,62587326,0,21795868666,3201268679,39742,[MC74]Masters of Courage
40962537,AHMED HERZALLAH,87573421,186591808,6242930,1891900,318254,431750,4878450,6753271,14273625,11631721,0,8682184241,556073000,13401,[~TB]~True Blood~
40989465,????,86885000,175085094,12280941,696320,824650,1036545,11920617,2497209,16975341,14417826,0,16087095197,914795076,55591,[PE-A]PeacefulExit Academy
40984308,PodzAdPinkAdam,86336694,559276286,22553817,161980102,1516046,1343131,20508281,15669642,201017202,36177923,0,14748263142,1180957496,82176,[IKVA]Int Kor Vit Alliance
