Governor ID,Governor Name,Power,Kill Points,Deaths,T1,T2,T3,T4,T5,Kills,Kills (T4+),RSS Gathered,RSS Assistance,Helps,Alliance
20152080,ᅠᅟᅟᅠᅟᅠ,162750894,5739217166,24556863,17796444,11726496,18415739,206996313,178428940,433363932,385425253,6264915195,9776588198,36449,[~1st]~First Blood~
10433267,Rosemary705,132281533,3356648493,26456356,26040517,6443367,8696149,180365228,75005839,296551100,255371067,23030441244,4004964185,179939,[~1st]~First Blood~
40922165,Rendant,111054707,505364214,6750310,18967132,301845,206162,12896537,18558854,50930530,31455391,21959189831,1939407268,34092,[~TB]~True Blood~
23509063,XBionicBlurryX,109000699,1726698539,15701209,43028657,7912074,4080145,84498922,42047943,181567741,126546865,16121189250,3437426323,61221,[~TB]~True Blood~
22824323,GaMik,106365848,1025833854,7119792,28231202,702628,704857,39109587,31243353,99991627,70352940,21690379935,4470508370,92687,[~TB]~True Blood~
21304542,ʀᴀᴍʙᴏ,103883395,1751058096,13090604,4779493,2405434,4762260,112125733,30249248,154322168,142374981,21439126811,5755669994,32955,[~1st]~First Blood~
41110873,Lacsar,98312671,317380721,4750156,152658,147463,36966,6565892,12562424,19465403,19128316,36879036599,7184830346,34848,[~TB]~True Blood~
29886125,WhiteTigger,97341111,3522995439,17585811,45082786,1895701,2437080,128388050,110827933,288631550,239215983,16199690841,2521233255,79293,[~1st]~First Blood~
40925618,Nitmare01,96724897,191281539,4547465,1907335,2584805,311673,8275891,5086243,18165947,13362134,11891714112,3094150970,27440,[~TB]~True Blood~
61170341,Rafiki Prime,90255944,1889604267,21101162,134668709,1857879,1734322,71500522,56850613,266612045,128351135,19394498436,6147163547,119009,[~TB]~True Blood~
60305726,SmokyDread,88763096,366974976,11716522,445791,315155,388352,10357198,13056506,24563002,23413704,14324951958,9107847487,58004,[~TB]~True Blood~
48611614,Cengiz乄Han,87290159,901217315,13608201,67821226,2445191,1839337,37634118,24953208,134693080,62587326,21564771784,3201268679,39526,[~TB]~True Blood~
40962537,AHMED HERZALLAH,86979191,186591808,6242930,1891900,318254,431750,4878450,6753271,14273625,11631721,8639326915,553773000,13366,[~TB]~True Blood~
40989465,探圖索洞,86429400,174918914,12280941,696320,824650,1036545,11920617,2488900,16967032,14409517,15994475558,914795076,55461,[PE-A]PeacefulExit Academy
40984308,PodzAdPinkAdam,85004954,554710156,22553817,161980102,1516046,1343131,20051668,15669642,200560589,35721310,14608173431,1180957496,81608,[~TB]~True Blood~
40997355,AceKing2K,84100125,351072734,8598643,1190172,1487250,734430,11494500,11498874,26405226,22993374,11090867235,1010058834,16441,[~TB]~True Blood~
40928263,МЭЛС,83890811,606263969,6654613,687337,497412,605167,14426615,22922243,39138774,37348858,31133023131,1485230000,91088,[~TB]~True Blood~
66527265,Errebi,81915887,78004232,3570120,57260,62658,21261,1443472,3167385,4752036,4610857,30748904596,10313000000,11015,[~TB]~True Blood~
40958747,AHMED1977,81649130,290309073,13316765,32612038,542243,309745,13516056,7315132,54295214,20831188,27930908769,139200000,111545,[~TB]~True Blood~
40914960,LifeisBeautiful,81364278,415657210,4188669,63237713,3113898,3011793,10728864,13872303,93964571,24601167,12634561445,3085107629,44521,[~TB]~True Blood~
41137595,Speedy1986,80631616,76077106,720985,476470,1899449,524861,4718231,1145058,8764069,5863289,256543936,238894915,2324,-
26321575,Lemi B Salty,80353326,357071516,12557116,1146970,542143,2641184,14291738,10113786,28735821,24405524,15132976433,6896492206,62188,[~TB]~True Blood~
20927198,Axios Elysium,79986062,453758476,14339637,46424131,205575,111685,29469378,7446099,83656868,36915477,13554508345,2630326101,104314,[~TB]~True Blood~
40939667,RaptorBite,79658403,654167546,20095377,1045300,254583,722115,33841670,15607208,51470876,49448878,18686846244,864651006,82667,[~TB]~True Blood~
